Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
39,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,48,4,3,Healthcare Representative,4,Divorced," 9,613 "," 10,942 ", -   ,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,No
36,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419,2,Female,47,3,2,Laboratory Technician,2,Married," 5,674 "," 6,927 ", 7 ,Y,No,15,3,3,80,1,11,3,3,9,8,0,8,No
32,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420,4,Male,91,2,2,Sales Executive,3,Married," 5,484 "," 16,985 ", 1 ,Y,No,14,3,3,80,1,13,3,2,13,8,4,8,No
38,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married," 12,061 "," 26,707 ", 3 ,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,No
58,Non-Travel,390,Research & Development,1,4,Life Sciences,1,422,4,Male,32,1,2,Healthcare Representative,3,Divorced," 5,660 "," 17,056 ", 2 ,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2,No
31,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423,3,Male,86,3,1,Research Scientist,4,Married," 4,821 "," 10,077 ", -   ,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3,No
31,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424,1,Male,62,2,2,Human Resources,1,Married," 6,410 "," 17,822 ", 3 ,Y,No,12,3,4,80,0,9,1,3,2,2,1,0,No
45,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,1,Divorced," 5,210 "," 20,308 ", 1 ,Y,No,18,3,1,80,1,24,2,3,24,9,9,11,No
31,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,426,3,Male,32,3,1,Research Scientist,4,Divorced," 2,695 "," 7,747 ", -   ,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,No
33,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,428,4,Female,74,3,3,Manager,2,Married," 11,878 "," 23,364 ", 6 ,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,No
39,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,99,3,4,Manager,1,Married," 17,068 "," 5,355 ", 1 ,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10,No
43,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,4,Single," 2,455 "," 10,675 ", -   ,Y,No,19,3,1,80,0,9,5,3,8,7,1,7,No
49,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431,3,Female,90,2,4,Healthcare Representative,3,Single," 13,964 "," 17,810 ", 7 ,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7,No
52,Travel_Rarely,723,Research & Development,8,4,Medical,1,433,3,Male,85,2,2,Research Scientist,2,Married," 4,941 "," 17,747 ", 2 ,Y,No,15,3,1,80,0,11,3,2,8,2,7,7,Yes
27,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434,3,Female,85,3,1,Research Scientist,2,Single," 2,478 "," 20,938 ", 1 ,Y,Yes,12,3,2,80,0,4,2,2,4,3,1,2,No
32,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436,3,Female,65,2,2,Sales Executive,2,Married," 5,228 "," 24,624 ", 1 ,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,No
27,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,3,Single," 4,478 "," 5,242 ", 1 ,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4,No
31,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced," 7,547 "," 7,143 ", 4 ,Y,No,12,3,4,80,3,13,3,3,7,7,1,7,No
32,Travel_Rarely,1018,Research & Development,2,4,Medical,1,439,1,Female,74,4,2,Research Scientist,4,Single," 5,055 "," 10,557 ", 7 ,Y,No,16,3,3,80,0,10,0,2,7,7,0,7,No
28,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440,1,Male,84,1,1,Research Scientist,4,Married," 3,464 "," 24,737 ", 5 ,Y,Yes,13,3,4,80,0,5,4,2,3,2,2,2,Yes
30,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441,4,Female,64,3,2,Research Scientist,4,Married," 5,775 "," 11,934 ", 1 ,Y,No,13,3,4,80,2,11,2,3,10,8,1,9,No
31,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442,3,Female,48,2,3,Manufacturing Director,3,Married," 8,943 "," 14,034 ", 1 ,Y,No,24,4,1,80,1,10,2,3,10,9,8,9,No
39,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,Male,54,2,5,Manager,4,Married," 19,272 "," 21,141 ", 1 ,Y,No,15,3,1,80,1,21,2,3,21,9,13,3,No
39,Travel_Rarely,1162,Sales,3,2,Medical,1,445,4,Female,41,3,2,Sales Executive,3,Married," 5,238 "," 17,778 ", 4 ,Y,Yes,18,3,1,80,0,12,3,2,1,0,0,0,Yes
33,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,Male,46,2,2,Sales Executive,4,Single," 4,682 "," 4,317 ", 3 ,Y,No,14,3,3,80,0,9,6,2,7,7,0,1,No
47,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,3,Married," 18,300 "," 16,375 ", 4 ,Y,No,11,3,2,80,1,21,2,3,3,2,1,1,No
43,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced," 5,257 "," 6,227 ", 1 ,Y,No,11,3,2,80,1,9,3,4,9,7,0,0,No
27,Non-Travel,210,Sales,1,1,Marketing,1,449,3,Male,73,3,2,Sales Executive,2,Married," 6,349 "," 22,107 ", -   ,Y,Yes,13,3,4,80,1,6,0,3,5,4,1,4,No
54,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450,4,Female,31,3,2,Research Scientist,3,Single," 4,869 "," 16,885 ", 3 ,Y,No,12,3,4,80,0,20,4,2,4,3,0,3,No
43,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,Female,43,3,3,Healthcare Representative,1,Married," 9,985 "," 9,262 ", 8 ,Y,No,16,3,1,80,1,10,1,2,1,0,0,0,No
45,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,75,3,2,Research Scientist,4,Married," 3,697 "," 9,278 ", 9 ,Y,No,14,3,1,80,2,12,3,3,10,9,9,8,No
40,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,Male,57,1,2,Sales Executive,4,Married," 7,457 "," 13,273 ", 2 ,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,No
29,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,Male,77,1,1,Laboratory Technician,1,Married," 2,119 "," 4,759 ", 1 ,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7,Yes
29,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,Male,30,2,1,Laboratory Technician,4,Single," 3,983 "," 7,621 ", -   ,Y,No,17,3,3,80,0,4,2,3,3,2,2,2,No
30,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,Female,30,2,2,Sales Executive,3,Divorced," 6,118 "," 5,431 ", 1 ,Y,No,13,3,3,80,3,10,2,3,10,9,1,2,No
27,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married," 6,214 "," 3,415 ", 1 ,Y,No,18,3,1,80,1,8,3,3,8,7,0,7,No
37,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced," 6,347 "," 23,177 ", 7 ,Y,No,16,3,3,80,2,8,2,2,6,2,0,4,No
38,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced," 11,510 "," 15,682 ", -   ,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,No
31,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single," 7,143 "," 25,713 ", 1 ,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10,No
29,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,Female,39,2,2,Sales Executive,2,Divorced," 8,268 "," 11,866 ", 1 ,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7,No
35,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,62,3,3,Manufacturing Director,2,Single," 8,095 "," 18,264 ", -   ,Y,No,13,3,4,80,0,17,5,3,16,6,0,13,No
23,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced," 2,904 "," 16,092 ", 1 ,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,No
41,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single," 6,032 "," 10,110 ", 6 ,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2,No
47,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single," 2,976 "," 25,751 ", 3 ,Y,No,19,3,1,80,0,5,3,3,0,0,0,0,No
42,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,44,3,4,Research Director,4,Single," 15,992 "," 15,901 ", 2 ,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,No
29,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married," 4,649 "," 16,928 ", 1 ,Y,No,14,3,1,80,1,4,3,2,4,3,0,2,No
42,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,Male,52,3,1,Human Resources,3,Divorced," 2,696 "," 24,017 ", -   ,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,No
32,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,75,3,1,Laboratory Technician,2,Married," 2,370 "," 3,956 ", 1 ,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,No
48,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,Female,91,3,3,Manager,3,Married," 12,504 "," 23,978 ", 3 ,Y,No,21,4,2,80,1,15,3,1,0,0,0,0,No
37,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced," 5,974 "," 17,001 ", 4 ,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7,No
30,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married," 4,736 "," 6,069 ", 7 ,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2,No
26,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,57,3,2,Sales Executive,3,Married," 5,296 "," 20,156 ", 1 ,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,No
42,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,Male,98,2,2,Healthcare Representative,4,Single," 6,781 "," 17,078 ", 3 ,Y,No,23,4,2,80,0,14,6,3,1,0,0,0,No
21,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single," 2,174 "," 9,150 ", 1 ,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,Yes
36,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,45,3,2,Sales Executive,4,Single," 6,653 "," 15,276 ", 4 ,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,No
36,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married," 9,699 "," 7,246 ", 4 ,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,No
57,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,Male,88,3,2,Healthcare Representative,3,Married," 6,755 "," 2,967 ", 2 ,Y,No,11,3,3,80,0,15,2,3,3,2,1,2,No
40,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,Female,46,4,1,Laboratory Technician,3,Married," 2,213 "," 22,495 ", 3 ,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7,No
21,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single," 2,610 "," 2,851 ", 1 ,Y,No,24,4,3,80,0,3,3,2,3,2,2,2,No
33,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single," 2,851 "," 9,150 ", 1 ,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0,Yes
37,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,Female,98,3,1,Laboratory Technician,1,Married," 3,452 "," 17,663 ", 6 ,Y,No,20,4,2,80,1,17,3,3,5,4,0,3,No
46,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married," 5,258 "," 16,044 ", 2 ,Y,No,14,3,3,80,0,7,2,4,1,0,0,0,No
41,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single," 9,355 "," 9,558 ", 1 ,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Yes
50,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single," 10,496 "," 2,755 ", 6 ,Y,No,15,3,4,80,0,20,2,3,4,3,1,3,No
40,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,68,2,2,Sales Executive,3,Married," 6,380 "," 6,110 ", 2 ,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0,Yes
31,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single," 2,657 "," 7,551 ", -   ,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2,No
21,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single," 2,716 "," 25,422 ", 1 ,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,Yes
29,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,Male,54,3,1,Research Scientist,4,Single," 2,201 "," 18,168 ", 9 ,Y,No,16,3,4,80,0,6,4,3,3,2,1,2,No
35,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,2,Single," 6,540 "," 19,394 ", 9 ,Y,No,19,3,3,80,0,10,5,3,1,1,0,0,No
27,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,Male,82,3,1,Laboratory Technician,2,Divorced," 3,816 "," 17,881 ", 1 ,Y,No,11,3,2,80,1,5,2,3,5,2,0,4,No
28,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single," 5,253 "," 20,750 ", 1 ,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,No
49,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,Male,31,2,3,Healthcare Representative,3,Single," 10,965 "," 12,066 ", 8 ,Y,No,24,4,3,80,0,26,2,3,5,2,0,0,No
51,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married," 4,936 "," 14,862 ", 4 ,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,No
36,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married," 2,543 "," 11,868 ", 4 ,Y,No,13,3,2,80,1,6,3,3,2,2,2,2,No
34,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,4,2,Sales Executive,4,Single," 5,304 "," 4,652 ", 8 ,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4,Yes
55,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single," 16,659 "," 23,258 ", 2 ,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2,No
24,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced," 4,260 "," 5,915 ", 1 ,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,No
30,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married," 2,476 "," 17,434 ", 1 ,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,No
26,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,Single," 3,102 "," 6,582 ", -   ,Y,No,22,4,3,80,0,7,2,3,6,4,0,4,Yes
22,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married," 2,244 "," 24,440 ", 1 ,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,No
36,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,Sales Executive,3,Married," 7,596 "," 3,809 ", 1 ,Y,No,13,3,2,80,2,10,2,3,10,9,9,0,No
30,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single," 2,285 "," 3,427 ", 9 ,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0,Yes
37,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced," 3,034 "," 26,914 ", 1 ,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,No
40,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced," 5,715 "," 22,553 ", 7 ,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,No
42,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced," 2,576 "," 20,490 ", 3 ,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,No
37,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single," 4,197 "," 21,123 ", 2 ,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1,No
43,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced," 14,336 "," 4,345 ", 1 ,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,No
40,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,3,Married," 3,448 "," 13,436 ", 6 ,Y,No,22,4,2,80,1,20,3,3,1,0,0,0,No
54,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married," 19,406 "," 8,509 ", 4 ,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,No
34,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married," 6,538 "," 12,740 ", 9 ,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,No
31,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married," 4,306 "," 4,156 ", 1 ,Y,No,12,3,2,80,1,13,5,1,13,10,3,12,No
43,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married," 2,258 "," 15,238 ", 7 ,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,No
43,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced," 4,522 "," 2,227 ", 4 ,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,No
25,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single," 4,487 "," 12,090 ", 1 ,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,No
37,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married," 4,449 "," 23,866 ", 3 ,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,No
31,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married," 2,218 "," 16,193 ", 1 ,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,No
39,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,52,3,5,Manager,3,Divorced," 19,197 "," 8,213 ", 1 ,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6,No
56,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married," 13,212 "," 18,256 ", 9 ,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,No
30,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single," 6,577 "," 19,558 ", -   ,Y,No,11,3,2,80,0,6,6,3,5,4,4,4,No
41,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married," 8,392 "," 19,566 ", 1 ,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,No
28,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced," 4,558 "," 13,535 ", 1 ,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,No
25,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married," 4,031 "," 9,396 ", 5 ,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,Yes
52,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married," 7,969 "," 19,609 ", 2 ,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,No
45,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married," 2,654 "," 9,655 ", 3 ,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,No
52,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,Female,30,3,4,Manager,4,Married," 16,555 "," 10,310 ", 2 ,Y,No,13,3,4,80,0,31,2,1,5,2,1,4,No
42,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced," 4,556 "," 12,932 ", 2 ,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,No
30,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single," 6,091 "," 24,793 ", 2 ,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,No
60,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married," 19,566 "," 3,854 ", 5 ,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,No
46,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced," 4,810 "," 26,314 ", 2 ,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,No
42,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married," 4,523 "," 4,386 ", -   ,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,No
24,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single," 3,202 "," 21,972 ", 1 ,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Yes
34,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced," 2,351 "," 12,253 ", -   ,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,Yes
38,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married," 1,702 "," 12,106 ", 1 ,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,No
40,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married," 18,041 "," 13,022 ", -   ,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,No
26,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced," 2,886 "," 3,032 ", 1 ,Y,No,22,4,2,80,2,3,3,1,3,2,0,2,No
30,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married," 2,097 "," 16,734 ", 4 ,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,No
29,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married," 11,935 "," 21,526 ", 1 ,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,No
29,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married," 2,546 "," 18,300 ", 5 ,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,Yes
19,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single," 2,564 "," 18,437 ", 1 ,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Yes
30,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married," 8,412 "," 2,890 ", -   ,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,No
57,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced," 14,118 "," 22,102 ", 3 ,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,No
50,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married," 17,046 "," 9,314 ", -   ,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,No
30,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single," 2,564 "," 7,181 ", -   ,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,No
60,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married," 10,266 "," 2,845 ", 4 ,Y,No,19,3,4,80,0,22,5,4,18,13,13,11,No
47,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced," 5,070 "," 7,389 ", 5 ,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,No
46,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married," 17,861 "," 2,288 ", 6 ,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,No
35,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single," 4,230 "," 19,225 ", -   ,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,No
54,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single," 3,780 "," 23,428 ", 7 ,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,No
